id,student_id,points,timestamp
1,1,16,2023-07-26 01:19:15.924414+00:00
2,2,86,2023-07-26 01:19:17.004141+00:00
3,3,89,2023-07-26 01:19:18.128918+00:00
4,4,4,2023-07-26 01:19:19.154510+00:00
5,5,31,2023-07-26 01:19:20.280344+00:00
6,6,61,2023-07-26 01:19:21.509853+00:00
7,7,26,2023-07-26 01:19:22.533976+00:00
8,8,82,2023-07-26 01:19:23.558245+00:00
9,9,60,2023-07-26 01:19:24.729619+00:00
10,10,4,2023-07-26 01:19:25.912470+00:00
11,11,15,2023-07-26 01:19:27.140218+00:00
12,12,70,2023-07-26 01:19:28.448102+00:00
13,13,59,2023-07-26 01:19:29.843582+00:00
14,14,12,2023-07-26 01:19:31.136141+00:00
15,15,9,2023-07-26 01:19:32.262348+00:00
16,16,1,2023-07-26 01:19:33.489661+00:00
17,17,68,2023-07-26 01:19:34.664679+00:00
18,18,6,2023-07-26 01:19:35.846646+00:00
19,19,42,2023-07-26 01:19:37.075152+00:00
20,20,16,2023-07-26 01:19:38.155785+00:00
21,21,0,2023-07-26 01:19:39.273309+00:00
22,22,23,2023-07-26 01:19:40.286603+00:00
23,23,61,2023-07-26 01:19:41.478171+00:00
24,24,50,2023-07-26 01:19:42.604782+00:00
25,25,85,2023-07-26 01:19:43.608706+00:00
26,26,85,2023-07-26 01:19:44.677287+00:00
27,27,84,2023-07-26 01:19:45.881669+00:00
28,28,8,2023-07-26 01:19:46.896094+00:00
29,29,22,2023-07-26 01:19:47.898134+00:00
30,30,89,2023-07-26 01:19:48.954020+00:00
31,31,7,2023-07-26 01:19:50.016137+00:00
32,32,5,2023-07-26 01:19:51.206575+00:00
33,33,96,2023-07-26 01:19:52.437048+00:00
34,34,16,2023-07-26 01:19:53.560708+00:00
35,35,73,2023-07-26 01:19:54.687407+00:00
36,36,33,2023-07-26 01:19:55.917666+00:00
37,37,44,2023-07-26 01:19:57.043264+00:00
38,38,80,2023-07-26 01:19:58.272430+00:00
39,39,64,2023-07-26 01:19:59.326646+00:00
40,40,21,2023-07-26 01:20:00.413619+00:00
41,41,19,2023-07-26 01:20:01.550672+00:00
42,42,26,2023-07-26 01:20:02.666046+00:00
43,43,36,2023-07-26 01:20:03.903675+00:00
44,44,14,2023-07-26 01:20:04.929193+00:00
45,45,97,2023-07-26 01:20:06.159980+00:00
46,46,63,2023-07-26 01:20:07.385278+00:00
47,47,63,2023-07-26 01:20:08.454405+00:00
48,48,17,2023-07-26 01:20:09.537001+00:00
49,49,78,2023-07-26 01:20:10.607422+00:00
50,50,11,2023-07-26 01:20:11.733917+00:00
51,51,39,2023-07-26 01:20:12.860395+00:00
52,52,28,2023-07-26 01:20:13.941088+00:00
53,53,97,2023-07-26 01:20:14.964938+00:00
54,54,44,2023-07-26 01:20:16.034531+00:00
55,55,1,2023-07-26 01:20:17.114720+00:00
56,56,85,2023-07-26 01:20:18.241075+00:00
57,57,47,2023-07-26 01:20:19.469909+00:00
58,58,6,2023-07-26 01:20:20.540970+00:00
59,59,41,2023-07-26 01:20:21.722827+00:00
60,60,2,2023-07-26 01:20:22.951579+00:00
61,61,39,2023-07-26 01:20:23.965458+00:00
62,62,45,2023-07-26 01:20:24.969204+00:00
63,63,38,2023-07-26 01:20:26.023364+00:00
64,64,84,2023-07-26 01:20:27.140294+00:00
65,65,12,2023-07-26 01:20:28.378710+00:00
66,66,90,2023-07-26 01:20:29.402752+00:00
67,67,1,2023-07-26 01:20:30.518614+00:00
68,68,75,2023-07-26 01:20:31.702057+00:00
69,69,83,2023-07-26 01:20:32.874670+00:00
70,70,57,2023-07-26 01:20:34.113469+00:00
71,71,44,2023-07-26 01:20:35.238885+00:00
72,72,46,2023-07-26 01:20:36.413177+00:00
73,73,39,2023-07-26 01:20:37.492081+00:00
74,74,77,2023-07-26 01:20:38.666790+00:00
75,75,47,2023-07-26 01:20:39.747106+00:00
76,76,56,2023-07-26 01:20:40.872328+00:00
77,77,13,2023-07-26 01:20:42.101137+00:00
78,78,37,2023-07-26 01:20:43.274646+00:00
79,79,71,2023-07-26 01:20:44.344557+00:00
80,80,61,2023-07-26 01:20:45.377406+00:00
81,81,13,2023-07-26 01:20:46.402044+00:00
82,82,49,2023-07-26 01:20:47.633465+00:00
83,83,79,2023-07-26 01:20:48.859502+00:00
84,84,45,2023-07-26 01:20:49.986448+00:00
85,85,7,2023-07-26 01:20:51.112313+00:00
86,86,86,2023-07-26 01:20:52.286018+00:00
87,87,74,2023-07-26 01:20:53.467598+00:00
88,88,5,2023-07-26 01:20:54.491450+00:00
89,89,34,2023-07-26 01:20:55.667584+00:00
90,90,28,2023-07-26 01:20:56.847890+00:00
91,91,91,2023-07-26 01:20:58.075394+00:00
92,92,49,2023-07-26 01:20:59.189798+00:00
93,93,28,2023-07-26 01:21:00.375185+00:00
94,94,16,2023-07-26 01:21:01.556894+00:00
95,95,21,2023-07-26 01:21:02.732600+00:00
96,96,44,2023-07-26 01:21:03.911976+00:00
97,97,11,2023-07-26 01:21:05.141587+00:00
98,98,58,2023-07-26 01:21:06.267858+00:00
99,99,42,2023-07-26 01:21:07.496261+00:00
